key,ar,de,en,es,fr,hi,hu,id,ja,ko,pt,ru,zh,zh_tw
click_for_details,انقر للتفاصيل,Für Details klicken,Click for details,clic para ver detalles,cliquer pour les détails,विवरण के लिए क्लिक करें,Kattintson a részletekért,Klik untuk detail,クリックで詳細表示,자세히 보려면 클릭,clique para detalhes,Нажмите для подробностей,点击查看详情,點擊查看詳情
collection_date,تاريخ الجمع,Sammeldatum,Collection Date,fecha de recolección,date de collecte,संग्रह तिथि,Gyűjtés dátuma,tanggal pengambilan,採集日,채집일,data de coleta,Дата сбора,采集日期,採集日期
collection_month,شهر الجمع,Sammelmonat,Collection Month,mes de recolección,mois de collecte,संग्रह माह,Gyűjtés hónapja,bulan pengambilan,採集月,채집월,mês de coleta,Месяц сбора,采集月份,採集月份
collection_year,سنة الجمع,Sammeljahr,Collection Year,año de recolección,année de collecte,संग्रह वर्ष,Gyűjtés éve,tahun pengambilan,採集年,채집연도,ano de coleta,Год сбора,采集年份,採集年份
collector_en,الجامع (بالإنجليزية),Sammler (en),Collector (en),recolector (en),collecteur (en),संग्राहक (en),Gyűjtő (en),kolektor (en),採集者 (en),채집자(영문),coletor (en),Сборщик (en),采集者（en）,採集者（en）
collector_jp,الجامع (باليابانية),Sammler (jp),Collector (jp),recolector (jp),collecteur (jp),संग्राहक (jp),Gyűjtő (jp),kolektor (jp),採集者 (jp),채집자(일문),coletor (jp),Сборщик (jp),采集者（jp）,採集者（jp）
data,البيانات,Daten,Data,datos,données,डेटा,Adatok,data,データ,데이터,dados,Данные,数据,數据
december,ديسمبر,Dezember,Dec.,diciembre,décembre,दिसंबर,december,Desember,12月,12월,dezembro,декабрь,12月,12月
entered_by_on,أُدخِل بواسطة {name} بتاريخ {date},Eingetragen von {name} am {date},Entered by {name} on {date},introducido por {name} el {date},saisi par {name} le {date},{name} द्वारा {date} को दर्ज किया गया,{name} rögzítette ekkor: {date},Dimasukkan oleh {name} pada {date},"記入: {name}, {date}",{name}이(가) {date}에 입력,inserido por {name} em {date},Внесено {name} ({date}),由 {name} 于 {date} 录入,由 {name} 於 {date} 錄入
entry,إدخال,Eintrag,Entry,entrada,entrée,प्रविष्टि,Bejegyzés,entri,記入,입력,entrada,Запись,条目,條目
exclude_cited_records,استبعاد السجلات المُستشهَد بها,Zitierte Nachweise ausschließen,Exclude cited records,excluir citas bibliográficas,exclure les signalements cités,उद्धृत प्रमाण-रिकॉर्डों को बाहर करें,Hivatkozott előfordulási adatok kizárása,kecualikan rekaman yang disitasi,引用記録を除外,인용된 출현 기록 제외,excluir ocorrências citadas,Исключить цитированные находки,排除被引用的出现记录,排除被引用的出現紀錄
exclude_questionable_records,استبعاد السجلات المشكوك فيها,Zweifelhafte Nachweise ausschließen,Exclude questionable records,excluir citas dudosas,exclure les signalements douteux,संदिग्ध प्रमाण-रिकॉर्डों को बाहर करें,Kétséges előfordulási adatok kizárása,kecualikan rekaman yang meragukan,疑わしい記録を除外,의심 출현 기록 제외,excluir ocorrências duvidosas,Исключить сомнительные находки,排除存疑出现记录,排除存疑出現紀錄
exclude_records_without_species_identification,استبعاد السجلات غير المحددة النوع,Nachweise ohne Artbestimmung ausschließen,Exclude records without species identification,excluir citas sin identificación de especie,exclure les signalements sans identification spécifique,प्रजाति-निर्धारण के बिना प्रमाण-रिकॉर्डों को बाहर करें,Fajazonosítás nélküli előfordulási adatok kizárása,kecualikan rekaman tanpa identifikasi spesies,種同定されていない記録を除外,종 미동정 출현 기록 제외,excluir ocorrências sem identificação de espécie,Исключить находки без видового определения,排除未鉴定至物种的出现记录,排除未鑑定至物種的出現紀錄
exclude_undescribed_species,استبعاد الأنواع غير الموصوفة,Unbeschriebene Arten ausschließen,Exclude undescribed species,excluir especies no descritas,exclure les espèces non décrites,अवर्णित प्रजातियों को बाहर करें,Leíratlan fajok kizárása,kecualikan spesies yang belum dideskripsikan,未記載種を除外,미기재종 제외,excluir espécies não descritas,Исключить неописанные виды,排除未描述物种,排除未描述物種
exclude_unpublished_data,استبعاد البيانات غير المنشورة,Unveröffentlichte Daten ausschließen,Exclude unpublished data,excluir datos no publicados,exclure les données non publiées,अप्रकाशित डेटा को बाहर करें,Kiadatlan adatok kizárása,kecualikan data yang belum dipublikasikan,未公表データを除外,미출판 데이터 제외,excluir dados não publicados,Исключить неопубликованные данные,排除未发表数据,排除未發表數据
family,الفصيلة,Familie,Family,familia,famille,कुल,Család,famili,科,과,família,Семейство,科,科
february,فبراير,Februar,Feb.,febrero,février,फ़रवरी,február,Februari,2月,2월,fevereiro,февраль,2月,2月
filter,تصفية,Filter,Filter,filtro,filtrer,फ़िल्टर,Szűrő,filter,フィルター,필터,filtro,Фильтр,筛选,篩選
heading,توزيع ثنائيات الأرجل اليابانية (قيد الإنشاء),Verbreitung japanischer Diplopoden (im Aufbau),Distribution of Japanese Millipede (under construction),distribución de los diplópodos japoneses (en construcción),répartition des diplopodes du Japon (en construction),जापान के डिप्लोपोडा का वितरण (निर्माणाधीन),A japán diplopodák elterjedése (készül),Sebaran Diplopoda Jepang (dalam pengerjaan),日本産ヤスデ類の分布 (作成中)<br>Distribution of Japanese Millipede (under construction),일본산 Diplopoda 분포(구축 중),distribuição de Diplopoda do Japão (em construção),Распространение японских Diplopoda (в разработке),日本 Diplopoda 分布（建设中）,日本 Diplopoda 分布（建設中）
include_year,تضمين السنة,Jahr einbeziehen,Include Year,incluir año,inclure l’année,वर्ष शामिल करें,Év belefoglalása,sertakan tahun,含める年,연도 포함,incluir ano,Включить год,包含年份,包含年份
island,الجزيرة,Insel,Island,isla,île,द्वीप,Sziget,pulau,島嶼,섬,ilha,остров,岛屿,島嶼
january,يناير,Januar,Jan.,enero,janvier,जनवरी,január,Januari,1月,1월,janeiro,январь,1月,1月
july,يوليو,Juli,Jul.,julio,juillet,जुलाई,július,Juli,7月,7월,julho,июль,7月,7月
june,يونيو,Juni,Jun.,junio,juin,जून,június,Juni,6月,6월,junho,июнь,6月,6月
juvenile_unknown,يافع / غير معروف,Juvenil / unbekannt,Juvenile / Unknown,juvenil / desconocido,juvénile / inconnu,किशोर / अज्ञात,Juvenilis / ismeretlen,juvenil / tidak diketahui,幼体 / 不明,미성숙/불명,juvenil / desconhecido,Ювенильная / неизвестно,幼体／未知,幼體／未知
legend_doubtful_literature,سجل مشكوك فيه,Zweifelhafter Literaturnachweis,Doubtful record,cita bibliográfica dudosa,signalement bibliographique douteux,संदिग्ध साहित्य-प्रमाण-रिकॉर्ड,Kétséges irodalmi adat,rekaman literatur yang meragukan,疑わしい記録,의심 문헌 출현 기록,ocorrência bibliográfica duvidosa,Сомнительная литературная находка,存疑文献出现记录,存疑文獻出現紀錄
legend_doubtful_literature_tooltip,سجل مشكوك فيه: لا تشمل هذه الفئة حالات الخطأ الواضح في التعريف فحسب، بل تشمل أيضًا السجلات محلّ الشك. كما تتضمن حالات كان فيها المُشخِّص نفسه قد أخطأ في تعريف النوع نفسه في منشورات أخرى، أو كانت السجلات بعيدة عن أي مواقع مؤكدة، أو كانت موثوقية المُشخِّص عمومًا منخفضة بشكل ملحوظ.,"Zweifelhafter Nachweis: In dieser Kategorie sind nicht nur eindeutige Fehlbestimmungen, sondern auch fragliche Nachweise enthalten. Sie umfasst auch Fälle, in denen derselbe Bestimmer dieselbe Art in anderen Publikationen fehlbestimmt hat, in denen der Nachweis weit von bestätigten Vorkommen entfernt ist oder in denen die allgemeine Zuverlässigkeit des Bestimmers auffallend gering ist.","Doubtful record: Not only clear misidentifications but also questionable records are included. This category also encompasses cases where the same identifier has misidentified the same species in other publications, where the record is far from any confirmed occurrences, or where the identifier's overall reliability is notably low.","Cita dudosa: esta categoría incluye no solo identificaciones claramente erróneas, sino también citas cuestionables. También abarca casos en los que el mismo identificador ha identificado erróneamente la misma especie en otras publicaciones, en los que la cita está muy alejada de cualquier ocurrencia confirmada, o en los que la fiabilidad general del identificador es notablemente baja.","Signalement douteux : cette catégorie inclut non seulement des identifications manifestement erronées, mais aussi des signalements discutables. Elle comprend également les cas où le même identificateur a mal identifié la même espèce dans d’autres publications, où le signalement est éloigné de toute occurrence confirmée, ou où la fiabilité globale de l’identificateur est particulièrement faible.","संदिग्ध प्रमाण-रिकॉर्ड: इस श्रेणी में केवल स्पष्ट गलत पहचान ही नहीं, बल्कि संदिग्ध प्रमाण-रिकॉर्ड भी शामिल हैं। इसमें वे मामले भी आते हैं जहाँ उसी पहचानकर्ता ने अन्य प्रकाशनों में उसी प्रजाति की गलत पहचान की हो, जहाँ प्रमाण-रिकॉर्ड किसी भी पुष्टि-शुदा उपस्थिति से बहुत दूर हो, या जहाँ पहचानकर्ता की समग्र विश्वसनीयता उल्लेखनीय रूप से कम हो।","Kétséges előfordulási adat: ebbe a kategóriába nemcsak a nyilvánvaló téves azonosítások, hanem a megkérdőjelezhető előfordulási adatok is tartoznak. Ide soroljuk azokat az eseteket is, amikor ugyanaz a határozó más közleményekben is tévesen határozta meg ugyanazt a fajt, amikor az adat messze esik minden megerősített előfordulástól, vagy amikor a határozó általános megbízhatósága feltűnően alacsony.","Rekaman meragukan: kategori ini mencakup bukan hanya salah identifikasi yang jelas, tetapi juga rekaman yang dipertanyakan. Ini juga mencakup kasus ketika pengidentifikasi yang sama salah mengidentifikasi spesies yang sama dalam publikasi lain, ketika rekaman berada jauh dari kemunculan yang telah dikonfirmasi, atau ketika reliabilitas keseluruhan pengidentifikasi sangat rendah.",疑わしい記録：明確な誤同定だけでなく、疑わしい記録も含みます。同一の同定者が別の出版物で同じ種を誤同定していたり、確かな記録から離れている場合、同定者の同定精度が著しく低い場合もこのカテゴリーに含まれます。,"의심 출현 기록: 이 범주에는 명백한 오동정뿐 아니라 신뢰가 의심되는 기록도 포함됩니다. 또한 동일한 동정자가 다른 출판물에서 같은 종을 반복적으로 오동정한 경우, 해당 기록이 확인된 분포로부터 현저히 떨어진 경우, 또는 동정자의 전반적 신뢰성이 특히 낮은 경우도 포함됩니다.","Ocorrência duvidosa: esta categoria inclui não apenas identificações claramente incorretas, mas também ocorrências questionáveis. Ela também abrange casos em que o mesmo identificador identificou incorretamente a mesma espécie em outras publicações, em que a ocorrência está muito distante de quaisquer ocorrências confirmadas ou em que a confiabilidade geral do identificador é notavelmente baixa.","Сомнительная находка: в эту категорию включены не только явные ошибочные определения, но и сомнительные сведения. Сюда также относятся случаи, когда тот же определитель ошибочно определял тот же вид в других публикациях, когда находка сильно удалена от подтверждённых местонахождений или когда общая надёжность определителя заметно низка.",存疑出现记录：本类别不仅包括明显的误鉴定，也包括可疑记录。还包括以下情况：同一鉴定者在其他出版物中曾对同一物种作出误鉴定；该记录与任何已确认的出现地点相距甚远；或鉴定者总体可信度显著偏低。,存疑出現紀錄：本類別不仅包括明顯的誤鑑定，也包括可疑紀錄。还包括以下情况：同一鑑定者在其他出版物中曾對同一物種作出誤鑑定；该紀錄與任何已確認的出現地點相距甚遠；或鑑定者總體可信度顯著偏低。
legend_doubtful_synonymized_type,موقع نمطي مشكوك فيه لنوع مُرادَف,Zweifelhafte Typuslokalität einer synonymisierten Art,Doubtful type locality of synonymized species,localidad tipo dudosa de una especie sinonimizada,localité-type douteuse d’une espèce synonymisée,समरूपीकरण (synonymized) की गई प्रजाति की संदिग्ध टाइप लोकैलिटी,Szinonimizált faj kétséges típusterülete,lokalitas tipe yang meragukan dari spesies yang disinonimkan,統合された種の疑わしいタイプ産地,동의어화된 종의 의심 모식산지,localidade-tipo duvidosa de espécie sinonimizada,Сомнительная типовая местность синонимизированного вида,同物异名化物种的存疑模式产地,同物异名化物種的存疑模式產地
legend_doubtful_synonymized_type_tooltip,موقع نمطي مشكوك فيه لنوع مُرادَف: موقع نمطي لنوع كان يُعامل سابقًا كنوع مستقل ثم اعتُبر لاحقًا غير صالح أو دُمج، مع وجود شكوك حوله.,"Zweifelhafte Typuslokalität einer synonymisierten Art: Die Typuslokalität einer früher als eigenständig behandelten Art, die inzwischen als ungültig gilt oder zusammengeführt wurde und deren Richtigkeit bezweifelt wird.","Doubtful type locality of synonymized species: A previously separate species type locality now considered invalid or merged, with doubts.","localidad tipo dudosa de una especie sinonimizada: la localidad tipo de una especie que antes se consideraba separada y que ahora se considera inválida o fusionada, con dudas.","Localité-type douteuse d’une espèce synonymisée : localité-type d’une espèce auparavant considérée distincte, désormais jugée invalide ou fusionnée, et dont l’exactitude est mise en doute.","समरूपीकरण (synonymized) की गई प्रजाति की संदिग्ध टाइप लोकैलिटी: किसी पूर्व में अलग मानी गई प्रजाति की टाइप लोकैलिटी, जिसे अब अमान्य या विलयित माना जाता है, और जिसके बारे में संदेह है।","Szinonimizált faj kétséges típusterülete: egy korábban külön fajként kezelt taxon típusterülete, amelyet ma érvénytelennek vagy összevontnak tekintenek, és amelynek helyessége kétséges.","Lokalitas tipe yang meragukan dari spesies yang disinonimkan: lokalitas tipe dari spesies yang sebelumnya diperlakukan sebagai spesies terpisah, kini dianggap tidak valid atau digabung, dan diragukan kebenarannya.",統合された種の疑わしいタイプ産地：現在、有効とは見なされていないものの、過去には別の種として扱われていた種の疑わしいタイプ産地です。,"동의어화된 종의 의심 모식산지: 과거에는 별개의 종으로 취급되었으나 현재는 무효로 간주되거나 다른 종과 통합된 종의 모식산지로, 그 정확성에 의문이 있는 경우를 말합니다.","Localidade-tipo duvidosa de espécie sinonimizada: uma localidade-tipo de uma espécie anteriormente tratada como separada, agora considerada inválida ou fundida, com dúvidas.","Сомнительная типовая местность синонимизированного вида: типовая местность ранее самостоятельного вида, ныне признанного недействительным или сведённого в синонимы, корректность которой вызывает сомнения.",同物异名化物种的存疑模式产地：原先作为独立物种处理、现已被认为无效或并入他种的物种之模式产地，其准确性存疑。,同物异名化物種的存疑模式產地：原先作為独立物種處理、現已被認為無效或並入他種的物種之模式產地，其准確性存疑。
legend_doubtful_type,موقع نمطي مشكوك فيه,Zweifelhafte Typuslokalität,Doubtful type locality,localidad tipo dudosa,localité-type douteuse,संदिग्ध टाइप लोकैलिटी,Kétséges típusterület,lokalitas tipe yang meragukan,疑わしいタイプ産地,의심 모식산지,localidade-tipo duvidosa,Сомнительная типовая местность,存疑模式产地,存疑模式產地
legend_doubtful_type_tooltip,موقع نمطي مشكوك فيه: موقع وُصف بأنه موقع نمطي، لكنه يُعد الآن على الأرجح خاطئًا.,"Zweifelhafte Typuslokalität: Eine als Typuslokalität angegebene Lokalität, die heute wahrscheinlich als fehlerhaft angesehen wird.","Doubtful type locality: A locality described as a type locality, but which is now considered likely to be erroneous.","localidad tipo dudosa: una localidad descrita como localidad tipo, pero que ahora se considera probablemente errónea.","Localité-type douteuse : localité décrite comme localité-type, mais aujourd’hui considérée comme probablement erronée.","संदिग्ध टाइप लोकैलिटी: वह स्थान जिसे टाइप लोकैलिटी बताया गया था, पर जिसे अब संभवतः त्रुटिपूर्ण माना जाता है।","Kétséges típusterület: típusterületként megadott hely, amelyet ma valószínűleg tévesnek tartanak.","Lokalitas tipe yang meragukan: suatu lokalitas yang dideskripsikan sebagai lokalitas tipe, tetapi kini dianggap kemungkinan keliru.",疑わしいタイプ産地：タイプ産地とされたものの、実際には誤りの可能性が高いと考えられる産地です。,의심 모식산지: 모식산지로 기재되었으나 현재는 오류일 가능성이 높은 지역입니다.,"Localidade-tipo duvidosa: uma localidade descrita como localidade-tipo, mas que agora é considerada provavelmente errônea.","Сомнительная типовая местность: местность, указанная как типовая, но ныне считающаяся вероятно ошибочной.",存疑模式产地：被描述为模式产地但现被认为很可能有误的地点。,存疑模式產地：被描述為模式產地但現被認為很可能有誤的地點。
legend_literature_record,سجل من الأدبيات,Literaturnachweis,Literature record,cita bibliográfica,signalement bibliographique,साहित्य-प्रमाण-रिकॉर्ड,Irodalmi adat,rekaman literatur,文献記録,문헌 출현 기록,ocorrência bibliográfica,Литературная находка,文献出现记录,文獻出現紀錄
legend_literature_record_tooltip,سجل من الأدبيات: سجل منشور في الأدبيات العلمية، باستثناء سجلات العينات. قد تتضمن هذه السجلات حالات تفتقر إلى أدلة داعمة كافية، وقد يُعاد تصنيف بعضها كسجلات مشكوك فيها مستقبلًا.,"Literaturnachweis: Ein in der Literatur veröffentlichter Nachweis, ausgenommen Belegexemplar-Nachweise. Er kann Angaben enthalten, die nicht ausreichend belegt sind; einige könnten künftig als zweifelhaft eingestuft werden.","Literature record: A record published in the literature, excluding specimen records. These may include records lacking sufficient supporting evidence, and some may be reclassified as questionable in the future.","Cita bibliográfica: una cita publicada en la literatura, excluyendo las citas basadas en especímenes. Puede incluir citas sin evidencia de apoyo suficiente, y algunas podrían reclasificarse como dudosas en el futuro.","Signalement bibliographique : signalement publié dans la littérature, à l’exclusion des signalements basés sur des spécimens. Il peut inclure des signalements insuffisamment étayés, et certains pourraient être reclassés comme douteux à l’avenir.","साहित्य-प्रमाण-रिकॉर्ड: साहित्य में प्रकाशित प्रमाण-रिकॉर्ड, नमूना-आधारित रिकॉर्डों को छोड़कर। इनमें पर्याप्त सहायक प्रमाण के बिना प्रमाण-रिकॉर्ड शामिल हो सकते हैं, और कुछ को भविष्य में संदिग्ध के रूप में पुनर्वर्गीकृत किया जा सकता है।","Irodalmi adat: a szakirodalomban közölt előfordulási adat, a példányalapú előfordulási adatok kivételével. Tartalmazhat nem kellően alátámasztott előfordulási adatokat, és egyesek a jövőben kétségesnek minősülhetnek.","Rekaman literatur: rekaman yang dipublikasikan dalam literatur, tidak termasuk rekaman berbasis spesimen. Ini dapat mencakup rekaman tanpa bukti pendukung yang memadai, dan sebagian dapat direklasifikasi sebagai meragukan di masa depan.",文献記録：標本記録を除く、文献に掲載された記録です。証拠が十分ではない記録も含まれており、一部の記録は将来、疑わしい記録に変わる可能性があります。,"문헌 출현 기록: 표본 기반 출현 기록을 제외하고 문헌에 출판된 출현 기록입니다. 충분한 근거가 없는 출현 기록이 포함될 수 있으며, 일부는 향후 의심 출현 기록으로 재분류될 수 있습니다.","Ocorrência bibliográfica: uma ocorrência publicada na literatura, excluindo ocorrências de espécimes. Pode incluir ocorrências sem evidência de suporte suficiente, e algumas podem ser reclassificadas como duvidosas no futuro.","Литературная находка: сведения, опубликованные в литературе, за исключением находок по экземплярам. Такие сведения могут быть недостаточно обоснованными, и некоторые из них в будущем могут быть переквалифицированы как сомнительные.",文献出现记录：文献中发表的出现记录（不含标本出现记录）。其中可能包含证据不足的出现记录，部分出现记录未来可能被重新归类为存疑。,文獻出現紀錄：文獻中發表的出現紀錄（不含標本出現紀錄）。其中可能包含證据不足的出現紀錄，部分出現紀錄未來可能被重新归類為存疑。
legend_marker_types,أنواع العلامات,Markertypen,Marker Types,tipos de marcadores,types de marqueurs,चिन्ह (मार्कर) के प्रकार,Jelölőtípusok,jenis penanda,マーカーの種類,마커 유형,tipos de marcadores,Типы маркеров,标记类型,標記類型
legend_specimen,سجل عيّنة,Belegexemplar-Nachweis,Specimen record,cita de espécimen,signalement basé sur un spécimen,नमूना-आधारित रिकॉर्ड,Példányalapú előfordulási adat,rekaman berbasis spesimen,標本記録,표본 기반 출현 기록,ocorrência baseada em espécime,Находка по экземпляру,标本出现记录,標本出現紀錄
legend_specimen_tooltip,سجل عيّنة: سجل يتحمل منشئو قاعدة البيانات مسؤوليته. ويشمل ذلك تحديدًا السجلات القائمة على عينات تمت ملاحظتها بواسطة منشئي هذه القاعدة أو بواسطة مؤلفين مشاركين في منشورات مشتركة.,"Belegexemplar-Nachweis: Ein Nachweis, für den die Ersteller dieser Datenbank Verantwortung übernehmen. Dazu gehören insbesondere Nachweise, die auf Exemplaren beruhen, die von den Erstellern der Datenbank oder von Mitautoren gemeinsamer Publikationen untersucht wurden.","Specimen record: A record for which the creators of this database take responsibility. Specifically, this includes records based on specimens observed by the database creators or by coauthors of joint publications.","Cita de espécimen: una cita de la que se responsabilizan los creadores de esta base de datos. En concreto, incluye citas basadas en especímenes examinados por los creadores de la base de datos o por coautores de publicaciones conjuntas.",Signalement basé sur un spécimen : signalement dont les créateurs de cette base assument la responsabilité. Il inclut en particulier les signalements fondés sur des spécimens examinés par les créateurs de la base ou par des co-auteurs de publications conjointes.,"नमूना-आधारित रिकॉर्ड: ऐसा रिकॉर्ड जिसकी जिम्मेदारी इस डेटाबेस के निर्माताओं द्वारा ली जाती है। विशेष रूप से, इसमें वे प्रमाण-रिकॉर्ड शामिल हैं जो निर्माताओं या संयुक्त प्रकाशनों के सह-लेखकों द्वारा देखे/जाँचे गए नमूनों पर आधारित हैं।","Példányalapú előfordulási adat: olyan előfordulási adat, amelyért az adatbázis készítői felelősséget vállalnak. Ide tartoznak különösen azok az előfordulási adatok, amelyek az adatbázis készítői vagy közös publikációk társszerzői által vizsgált példányokon alapulnak.","Rekaman berbasis spesimen: rekaman yang menjadi tanggung jawab para pembuat basis data ini. Secara khusus, ini mencakup rekaman yang didasarkan pada spesimen yang diamati oleh pembuat basis data atau oleh rekan penulis publikasi bersama.",標本記録：本データベースの作成者が責任をもつ記録です。具体的には、データベースの作成者が標本を観察した記録と、共著論文の著者が標本を観察した記録が含まれます。,표본 기반 출현 기록: 이 데이터베이스의 작성자가 책임을 지는 출현 기록입니다. 구체적으로는 데이터베이스 작성자 또는 공동 출판물의 공저자가 관찰·검토한 표본에 근거한 출현 기록을 포함합니다.,"Ocorrência baseada em espécime: uma ocorrência pela qual os criadores deste banco de dados assumem responsabilidade. Em particular, inclui ocorrências baseadas em espécimes observados pelos criadores do banco de dados ou por coautores de publicações conjuntas.","Находка по экземпляру: находка, за которую составители этой базы данных несут ответственность. В частности, сюда относятся находки, основанные на экземплярах, изученных составителями базы данных или соавторами совместных публикаций.",标本出现记录：由本数据库创建者承担责任的出现记录。具体而言，包括基于数据库创建者或共同发表论文的合作者所观察／检视之标本的出现记录。,標本出現紀錄：由本數据库创建者承担责任的出現紀錄。具體而言，包括基於數据库创建者或共同發表论文的合作者所觀察／检视之標本的出現紀錄。
legend_synonymized_type,الموقع النمطي لنوع مُرادَف,Typuslokalität einer synonymisierten Art,Type locality of synonymized species,localidad tipo de una especie sinonimizada,localité-type d’une espèce synonymisée,समरूपीकरण (synonymized) की गई प्रजाति की टाइप लोकैलिटी,Szinonimizált faj típusterülete,lokalitas tipe dari spesies yang disinonimkan,統合された種のタイプ産地,동의어화된 종의 모식산지,localidade-tipo de espécie sinonimizada,Типовая местность синонимизированного вида,同物异名化物种的模式产地,同物异名化物種的模式產地
legend_synonymized_type_tooltip,الموقع النمطي لنوع مُرادَف: الموقع النمطي لنوع لم يعد يُعد صالحًا، لكنه كان يُعامل سابقًا كنوع مستقل.,"Typuslokalität einer synonymisierten Art: Die Typuslokalität einer Art, die nicht mehr als gültig angesehen wird, aber früher als eigenständige Art behandelt wurde.","Type locality of synonymized species: A type locality of a species that is no longer considered valid, but was previously treated as a separate species.","localidad tipo de una especie sinonimizada: la localidad tipo de una especie que ya no se considera válida, pero que anteriormente se trataba como una especie separada.","Localité-type d’une espèce synonymisée : localité-type d’une espèce qui n’est plus considérée valide, mais qui a été auparavant traitée comme une espèce distincte.","समरूपीकरण (synonymized) की गई प्रजाति की टाइप लोकैलिटी: ऐसी प्रजाति की टाइप लोकैलिटी जिसे अब वैध नहीं माना जाता, लेकिन पहले उसे अलग प्रजाति के रूप में माना जाता था।","Szinonimizált faj típusterülete: egy ma már nem tekintett érvényes faj típusterülete, amelyet korábban külön fajként kezeltek.","Lokalitas tipe dari spesies yang disinonimkan: lokalitas tipe dari spesies yang tidak lagi dianggap valid, tetapi sebelumnya diperlakukan sebagai spesies terpisah.",統合された種のタイプ産地：現在、有効とは見なされていないものの、過去には別種として扱われていた種のタイプ産地です。,동의어화된 종의 모식산지: 현재는 유효종으로 간주되지 않지만 과거에는 별개의 종으로 취급되었던 종의 모식산지입니다.,"Localidade-tipo de espécie sinonimizada: a localidade-tipo de uma espécie que não é mais considerada válida, mas que anteriormente era tratada como uma espécie separada.","Типовая местность синонимизированного вида: типовая местность вида, который больше не считается действительным, но ранее рассматривался как отдельный вид.",同物异名化物种的模式产地：现已不再被认为有效、但曾作为独立物种处理的物种之模式产地。,同物异名化物種的模式產地：現已不再被認為有效、但曾作為独立物種處理的物種之模式產地。
legend_type,الموقع النمطي,Typuslokalität,Type locality,localidad tipo,localité-type,टाइप लोकैलिटी,Típusterület,lokalitas tipe,タイプ産地,모식산지,localidade-tipo,Типовая местность,模式产地,模式產地
